texto_original,label_verdadeira,label_prevista
place world like vision peopl franc popular miguel tower hawaii relax like vision generic citi peopl manner kind amaz waterfal park begin peopl manner kind area like brother sister instead moral enemi like arriv green grace thank peopl gentl furthermor peopl dubai make honest live rare crime caus resid addit amaz waterfal park design structur creat instanc visit waterfal night color make beauti watch like arriv born ride peac make feel calm ride goe conclus place world like vision generic citi peopl disciplin nice outstand waterfal park,0,1
communiti servic,1,0
impress learn peopl peopl impress yes hard chang impress special peopl affect peopl certain way way behavior chang attitud mayb person meet peopl impress break behavior instinct look peopl judg attitud peopl impress special know meet good bad everybodi uniqu way peopl say impress imposs chang think imposs peopl differ everybodi differ accept peopl understand peopl ban chang better wors peopl impress ban chang peopl,1,0
impress learn peopl peopl impress yes hard chang impress special peopl affect peopl certain way way behavior light chang attitud mayb person meet peopl impress check behavior instinct look peopl judg attitud peopl impress special know meet good bad everybodi uniqu differ way peopl say impress imposs chang think imposs peopl differ everybodi differ accept peopl understand peopl chang better wors peopl save impress chang peopl,0,1
peopl make decis avoid bad guidanc make decis know better know like want mental physic exampl bought like want total opposit need sent person place hlso peopl make decis learn mistak misjudg exampl peopl buy wrong size cloth onlin day tri store peopl know store measur order cloth onlin hnother exampl peopl look think nice read direct descript come packag got order home possess like pictur smaller thought piec order great learn experi read descript order come peopl make decis expert realli help situat case exampl peopl pay lawyer huge money fail court case hnother exampl peopl pay doctor think wrong hurt bad doctor say perfect fine prescrib expens painkil peopl home exampl therapist prescrib medic need therapist believ expert know tri make money innoc peopl okay make mistak learn misjudg better make decis avoid bad guidanc,1,0
opinion student make elect instead music drama ara student dislik music drama aha experi sing draw focus aha good reason ahab student make elect aha pay attent class finish work gea ahe credit student multitask aha drama class math ahe time focus ahe import thing ahab aha good student wash time make drama music class aha abe class easier ahe student learn assign instead worri ara dram class exampl junior year ahe school want make ara music want make ara knew aw draw fail ahe class make music horribl play ahe guitar fail ahab class furthermor old ahe teacher ahab make ara music great furthermor want focus cours class ahab graduat gea pass class graduat year second reason ahab student make aha finish cours class gea graduat year hard student drama music ahe best opportun ahe student focus work hard cours class noa worri ahe elect ahab ahe end ahe year stress grade aha make ahe elect furthermor stress make elect cours class ahe time stress ahem oua reason student make advantag make work aha worri cours class ahe class ahab make ahem graduat student galena experienc ara music class bearer ahem finish cours class ahe end aha make elect,1,0
limit peopl believ student requir music drama art class student forcibl requir music drama art class student nat requir music art class make class elect want limit chanc school start limit class requir certain class truli ineffect far student right pick need far exampl appli colleg need specif class credit want need art music class simpli wast time unpopular unnecessari unprofit far student nat student artist person want music art class mayb art music nat area accord newspap cnn particip experi graph compar peopl whey whey nat graph shape peopl whey leas focus irrit wast time nat eventu end leas paint wast aur precious time date thing nat obvious privileg academ class school nat case mare fun mare product far martial far student especi senior school limit make requir academ class martial far student especi senior whey fail ear twa class need make school limit make requir academ class graduat time strong believ student nat requir music art class make class elect school make art music academ class elect mare effect far student chanc pick realli want need far teacher teacher teach student whey realli want learn,1,0
thought place world like visit peopl franc popular eiffel tower hawaii relax like visit generic citi peopl manner kind amaz waterfal park begin peopl manner kind treat like brother sister instead mortal enemi like arriv greet grate thank peopl gentl furthermor peopl dubai make honest live rare crime caus resid addit amaz waterfal park design structur creat instanc visit waterfal night color make beauti watch like arriv boat ride peac make feel calm ride goe conclus place world like visit generic citi peopl disciplin nice outstand waterfal park,0,1
rememb summer vacat famili took went state visit relat seen awhil summer vacat time teenag break school enjoy like free time long summer vacat affect student retain inform past teen know summer vacat time relax fun reason teen know summer vacat relax spend time famili exampl famili went state visit relat seen awhil spend time famili consequ teen closer famili teen enjoy summer vacat famili play video game watch movi road trip reason teen know summer vacat relax hangout friend teenag hang friend parti watch movi hang friend teen think fun friend exampl teen fun time play pool friend gym addit teen fun friend sleep camp trip student know summer vacat relax away school away school student time fun thing import exampl student stay late wake earli morn teen time hand instead learn conclus import opinion teen know summer relax time summer vacat teen enjoy time famili friend,1,0
hey mike gone write benefit public school versus onlin home school think mike rummi import compar end contest option caus mike mot peopl ere start question public school simm best choic key public school mike better onlin home school come social hung friend end make new end cen mike teak peopl fecetofec easier make friend end stuff semé piec plus peopl person mike super import onlin school hes mike pretti room benefit thing cen mike peac rummi good cen mike speed end thing struggl cen mike time end review right plus worri mike bum caus home end cen dog need home school emm mike mix guess peac eso comfort home worri mike bus end cen mike went social public school end miss stuff mike emm think public school simm best choic social end person mike onlin school pretti room home school mike good option went peac import think whet best end mean style caus mike mean differ essay hope help let know question,1,0
great britain greatest place visit tourist opinion best place visit tourist great britain great britain mysteri place visit cultur differ visit great britain great motiv start learn english great britain lot tourist place visit exampl big ben big ben main histor place tourist visit great britain built lot castl centuri castl serv protect rich peopl royal famili attack warm right castl use live insid peopl left hem clean safe great place visit feel peopl live differ right second great britain believ type cultur world peopl live life optimist view best time life actual peopl live life great britain beauti accent help make lot dramat opera great britain histori peopl believ christian promot peopl caus old coloni believ christian final tourist visit great britain good motiv start learn english right world use english communic english greatest languag start learn english difficult languag difficult way end great britain great countri visit explor cultur style histor place motiv learn new great britain excit moment feel,0,1
enjoy spend time outdoor peopl look forward play outsid spend time outdoor kid consid outsid bwim basketbal play playground enjoy outdoor activ swim fun enjoy outdoor activ peopl love peopl age enjoy swim swim realli healthi good bodi kid enjoy swim thing swim kid love play game water elder enjoy swim relax bone swim peac fun base basketbal port peopl enjoy park basketbal court peopl basketbal hoop hous school recent vote enjoy port chose basketbal basketbal play entir world school basketbal court student play playground activ kid love thing play playground park playground kid appreci play playground peopl playground backyard playgroundb base fun kid play student love school bot hey play playground kid play playground day hope conclus swim basketbal play playground enjoy outdoor activ outdoor activ play world favorit outdoor activ,1,0
limit peopl believ student requir music drama art class student forcibl requir music drama art class student requir music art class make class elect limit choic school start limit class requir certain class truli ineffect zll student right puck need exampl appli colleg need specif class credit want need art music class simpli wast time unpopular unnecessari unprofit student student artist person want music art class mayb art music area accord newspap cnn particip experi graph compar peopl graph peopl loos focus irrit wast time ugh unto eventu end loos point wast precious time young thing unto obvious privileg academ class school case fun product mortal student especi sensor school limit make requir academ class mortal student especi sensor fail class need make school limit make requir academ class graduat time strong believ student requir music art class make class elect school make art music academ class elect effect student choic puck realli want need teacher teacher teach student realli want learn,1,0
impress learn peopl peopl impress yes hard chang impress special peopl affect peopl certain way way behavior chang attitud mayb person meet peopl impress check behavior instinct look peopl judg attitud peopl impress special know meet good bad everybodi uniqu way peopl say impress imposs chang think imposs peopl differ everybodi differ accept peopl understand peopl chang better wors peopl impress chang peopl,1,0
peopl make decis life import matter benefici second expert make unhealthi decis peopl life peopl make best decis life peopl make decis profit healthier decis expert peopl make unhealthi negat decis life peopl decis profit peopl decis save lot money expert ask peopl save time expert make decis peopl decis healthier selv famili healthi decis profit futur exampl good financ decis make life better away bankrupt second peopl make decis expert make unhealthi decis life import matter exampl bad financ decis expert result bankruptci destroy famili expert know person need best decis exampl person choos career advis author expert enjoy job futur result depress expert author care life peopl make decis individu know best decis peopl make healthiest decis life comfort futur individu know reason expert know reason healthi save decis expert know person need problem person order make decis peopl make decis import matter life conclus said peopl make decis individu know good person healthiest decis profit present futur end peopl trust selv make,1,0
visit world locat locat differnet thing like food cultur locat great spot famili vacat experi island live way lifestyl reason locat think locat amaz vacat spot famili world beach summer locat beach locat best resort food live year food resort best thing big small famili love pictur locat opion place especiallli citi locat famili vacat spot love natur beach reason locat realli great food cultur like option eat tast priceless second differ danc play music realli cool talent differ instrument hand craft sound bring joy tourist tour cultur tell stori locat discov meal locat differ histori make want eat food cultur locat best world lifetim experi experi peopl locat live lifestyl especi actual live citi live famili local teach differ way life locat richest place visit life chang moment locat offer peopl home rent week month live local locat locat relax place visit live citi locat mental break island discov work make look like vacat spot experienc differ cultur work way live island life locat visit destin world food cultur locat number famili vacat spot famili love beach experienc differ lifestyl life island work locat option enjoy time reason visit locat world,0,1
peopl make decis life import matter jirst benefici second expert make unhealthi decis peopl life peopl make best decis life peopl make decis profit healthier decis expert peopl make unhealthi negat decis life peopl decis profit peopl decis save lot money expert ask peopl save time expert make decis peopl decis healthier selv famili healthi decis profit futur exampl good financ decis make life better away bankrupt second peopl make decis expert make unhealthi decis life import matter jor exampl bad financ decis expert result bankruptci destroy famili expert know person need best decis exampl person choos career advis author expert enjoy job futur result depress expert author care life peopl make decis individu know best decis peopl make healthiest decis life comfort futur individu know reason expert know reason healthi save decis expert know person need problem person order make decis peopl make decis import matter life conclus said peopl make decis individu know good person healthiest decis profit present futur end peopl trust selv make,1,0
aw mistak think come come mistak duke ellington famous jazz legend said problem chanc best learn mistak mess make mistak learn better make mistak instead perfect learn better make mistak learn let mistak hold let mistak better tri perfect end learn experi make mistak adapt fix make mistak reason problem chanc better reason learn make mistak twice make mistak learn fine make mistak make mistak make mistak twice troubl make mistak learn grow mistak flaw wiser mistak better smarter person problem chanc better reason improv let learn instead feel like come mistak mistak posit learn mistak meant flaw meant learn mistak help better person learn mistak success peopl famous basketbal player singer footbal player rememb mistak learn,0,1
rememb summer vacat famili took went state visit relat seen summer vacat time teenag break school enjoy like free time long summer vacat affect student retain inform past teen know summer vacat time relax fun reason teen know summer vacat relax spend time famili exampl famili state visit relat seen spend time famili consequ teen closer famili teen enjoy summer vacat famili play video game watch movi road trip reason teen know summer vacat relax hang friend teenag hang friend parti watch movi hang friend teen think fun friend exampl teen fun time play pool friend gym addit teen fun friend sleep camp trip student know summer vacat relax away school away school student time fun thing import exampl student stay late wake earli morn teen time hand instead learn conclus import opinion teen know summer relax time summer vacat teen enjoy time famili friend,1,0
think driverless bad idea need cool caus lot problem lot peopl loos john truck driven taxi driven uber driven new john hard kill john thing driverless tell articl nay troubl thing like road work bad weather mean wrong accid problem blame accid driver inn mean car compani owner need confus lead loan court canon know nome peopl think driverless good drunk drive thing like need driverless make peopl drink drive hard know nome peopl think good peopl drive thing like bunin train place conclus think make driverless help lot peopl caus problem,1,0
opinion good person self matter happen exampl good behavior star home parent respons educ peopl said student bad student like bad influenc second reason problem affect career exampl grade school good person peopl good citizen peopl talk good teen deserv exampl school job peopl love work good idea focus thing weak terribl decis good behavior excel friend mayb girlfriend den pent conclus good behavior good person futur good guid children good student credit colleg good behavior mean respons work hard complet goal help peopl need help make good behavior,1,0
dear princip believ polici number ahh student abl use phone free time hunch better class time student turn kept student reach enjoy idea hunch want eat hunch teacher mad student use phone class think mad know free time kid use phone school teacher hook better rule use phone free time rule make student happier abl use phone kid hike want abl school ahh kid phone make fair rule phone ipod free time think work rule tri work high school student allow use phone middl school student kid start work phone high school idea think way think tri week work think polici number good good idea know tri tri work say say east tri student work hard time student homework test class mayb bad idea new rule cedh phone ahh hook good thing rule yes bad think work good rule school,1,0
peopl make decis avoid bad guidanc make decis know better know like want mental physic exampl bought like want total opposit need sent person place peopl make decis learn mistak misjudg exampl peopl buy wrong size cloth onlin day tri store peopl know store measur order cloth onlin exampl peopl look think nice read direct descript come packag got order home possess like pictur smaller thought piec order great learn experi read descript order come peopl make decis expert realli help situat case exampl peopl pay lawyer huge money fail court case exampl peopl pay doctor think wrong hurt bad doctor say perfect fine prescrib expens painkil peopl home exampl therapist prescrib medic need therapist believ expert know tri make money innoc peopl okay make mistak learn misjudg better make decis avoid bad guidanc,1,0
ground add pick add pretend right lie add aw dod know model toy come look code walk away spent model kid stuff peopl drop thing add pick add tell drop add usual peopl lie thing come mid dot smart know came add permiss steal peopl say leav peopl come look thing dot case peopl dod care add dot okay dot deed add wait need differ realli import add dod struggl wait differ dod wait fud dod realli care add dod deed wait cad buy dot struggl adi troubl dod drop awar action dod list peer pressur help kidd lesson import peopl dow dod stuff add thing permiss parent dod care anymor school step add teach young kid wrong add right drop especi valuabl imagin drop favorit toy add saw drop add rad feel probabl,1,0
rememb summer vacat famili took went state visit relat seen awhil summer vacat time teenag break school enjoy like free time long summer vacat affect student retain inform past teen know summer vacat time relax fun reason teen know summer vacat relax spend time famili exampl famili state visit relat seen awhil spend time famili consequ teen closer famili teen enjoy summer vacat famili play video game watch movi road trip reason teen know summer vacat relax hang friend teenag hang friend parti watch movi hang friend teen think fun friend exampl teen fun time play poor friend gym addit teen fun friend sleep camp trip student know summer vacat relax away school away school student time fun thing import exampl student stay late wake earli morn teen time hand instead learn conclus import opinion teen know summer relax time summer vacat teen enjoy time famili friend,1,0
